CONCESIONARIO|CODINTERNO|IDLOCALID|DIRECCION|CAPACIDAD|APROVECHAB|SERIAL|FECVIGDES|FECHAINSTA|LONGITUD|LATITUD|NOVUBICACI|FECHANOVED
Ciudad LÌmpia (ASE03)|24-0369|8|DG 53B SUR CON KR 78L|2400|N||2025-11-01 00:00:00||-74.17105932899995|4.612196278000056|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0448|8|CL 6 SUR CON KR 79|2400|N||2025-11-01 00:00:00||-74.15179130699994|4.630084901000032|UC|2025-03-06
Ciudad LÌmpia (ASE03)|24-0329|8|CL 47B SUR CON KR 79B ESQUINA|2400|N||2025-11-01 00:00:00||-74.16777854199995|4.616954969000062|UC|2019-01-17
Ciudad LÌmpia (ASE03)|24-0296|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2023-01-31
Ciudad LÌmpia (ASE03)|24-0720|8|CL 55 SUR No 77K 01|2400|N||2025-11-01 00:00:00||-74.17020914999995|4.605829939000046|UC|2019-01-14
Ciudad LÌmpia (ASE03)|24-0055|8|CL 58C SUR CON KR 77L|2400|N||2025-11-01 00:00:00||-74.17562201699997|4.6052063260000295|UC|2019-01-18
Ciudad LÌmpia (ASE03)|24-0749|8|KR 78 CON CL 55 SUR|2400|N||2025-11-01 00:00:00||-74.17024585399997|4.608985866000069|UC|2023-12-29
Ciudad LÌmpia (ASE03)|24-0600|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2022-11-30
Ciudad LÌmpia (ASE03)|24-0037|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2023-02-28
Ciudad LÌmpia (ASE03)|24-0801|8|CL 38BIS SUR CON KR 73CBIS ESQUINA|2400|N||2025-11-01 00:00:00||-74.14811706299997|4.617335389000061|UC|2025-04-23
Ciudad LÌmpia (ASE03)|24-0315|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2022-10-31
Ciudad LÌmpia (ASE03)|24-0864|8|CL 57C SUR No 77I 80|2400|N||2025-11-01 00:00:00||-74.17258694499998|4.6059387740000375|UC|2018-11-30
Ciudad LÌmpia (ASE03)|24-0879|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2022-12-31
Ciudad LÌmpia (ASE03)|24-0927|8|KR 77H CON CL 52A SUR|2400|N||2025-11-01 00:00:00||-74.16834229799997|4.605043583000054|UC|2023-10-23
Ciudad LÌmpia (ASE03)|24-0895|8|AK 80 CON CL 8A BIS ESQUINA|2400|N||2025-11-01 00:00:00||-74.14456485699998|4.642244686000026|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0539|8|KR 78 No 8A 45|2400|N||2025-11-01 00:00:00||-74.14085190799995|4.640133302000038|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0853|8|KR 74BIS CON CL 8D|2400|N||2025-11-01 00:00:00||-74.13835262399994|4.639961593000066|UC|2020-09-12
Ciudad LÌmpia (ASE03)|24-0439|8|CL 8BBIS 72A ESQUINA|2400|N||2025-11-01 00:00:00||-74.13704469499999|4.638616647000049|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0896|8|AC 8 No 72B 20|2400|N||2025-11-01 00:00:00||-74.13846718099995|4.63724945000007|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0627|8|KR 74 No 8A 29|2400|N||2025-11-01 00:00:00||-74.13975924599998|4.639300637000076|UC|2018-12-19
Ciudad LÌmpia (ASE03)|24-0638|8|AC 8 CON KR 77|2400|N||2025-11-01 00:00:00||-74.14112124299999|4.63813521000003|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0100|8|KR 78G No 8 52|2400|N||2025-11-01 00:00:00||-74.14323530099995|4.639866593000022|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0530|8|AC 8 CON KR 78|2400|N||2025-11-01 00:00:00||-74.14177303899999|4.638438803000042|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0360|8|CL 34B SUR No 90A 02|2400|N||2025-11-01 00:00:00||-74.16654532499996|4.642927823000036|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0952|8|CL 9 CON KR 78G ESQUINA|2400|N||2025-11-01 00:00:00||-74.14151989099997|4.642554664000045|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0630|8|KR 78G No 8 52|2400|N||2025-11-01 00:00:00||-74.14318574099997|4.639919189000068|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0953|8|KR 73 No 8 47|2400|N||2025-11-01 00:00:00||-74.13904984199996|4.637955551000061|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0573|8|CL 8A No 78C 95|2400|N||2025-11-01 00:00:00||-74.14275731399994|4.640588349000041|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0634|8|KR 78C CON CL 8ABIS (PARQUEADERO)|2400|N||2025-11-01 00:00:00||-74.14172870999994|4.640652159000069|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0759|8|KR 78G No 8B 22|2400|N||2025-11-01 00:00:00||-74.14223242599996|4.641400373000067|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0869|8|AK 80 No 8D 37|2400|N||2025-11-01 00:00:00||-74.14364330199999|4.643618692000075|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0537|8|CL 9 No 79 04|2400|N||2025-11-01 00:00:00||-74.14174483299996|4.642769309000073|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0851|8|KR 78 No 8A 45|2400|N||2025-11-01 00:00:00||-74.14069444799998|4.640060174000041|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0920|8|KR 78 No 8 53|2400|N||2025-11-01 00:00:00||-74.14140957799998|4.639024831000029|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0867|8|AC 8 No 72C 06|2400|N||2025-11-01 00:00:00||-74.13875707099999|4.637334163000048|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0575|8|CL 8BISA No 76 36|2400|N||2025-11-01 00:00:00||-74.14074201999995|4.638896963000036|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0515|8|CL 8D No 78C 05|2400|N||2025-11-01 00:00:00||-74.14104389299996|4.641588281000054|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0644|8|AC 8 CON KR 76|2400|N||2025-11-01 00:00:00||-74.14046308699994|4.63794107700005|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0639|8|KR 75 No 8D 57|2400|N||2025-11-01 00:00:00||-74.13942084899998|4.64057387400004|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0491|8|AK 80 CON CL 8BISA|2400|N||2025-11-01 00:00:00||-74.14515000599994|4.6413192420000655|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0422|8|AK 80 CON CL 8A BIS ESQUINA|2400|N||2025-11-01 00:00:00||-74.14460368599998|4.642200734000028|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0484|8|KR 72A CON CL 8 BIS|2400|N||2025-11-01 00:00:00||-74.13748926099998|4.63755311400007|UC|2018-12-07
Ciudad LÌmpia (ASE03)|24-0330|8|CL 54 SUR CON KR 81C|2400|N||2025-11-01 00:00:00||-74.17608004499994|4.619058352000025|UC|2024-04-10
Ciudad LÌmpia (ASE03)|24-0276|8|CL 47B SUR CON KR 79B|2400|N||2025-11-01 00:00:00||-74.16774207199995|4.616881115000069|UC|2025-03-06
Ciudad LÌmpia (ASE03)|24-0215|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2023-02-28
Ciudad LÌmpia (ASE03)|24-0332|8|TV 78HBIS No 41G 28 SUR|2400|N||2025-11-01 00:00:00||-74.15915768799994|4.6165115080000305|UC|2019-01-18
Ciudad LÌmpia (ASE03)|24-0352|8|AV 1ERA DE MAYO CON CL 46 SUR|2400|N||2025-11-01 00:00:00||-74.16482612399994|4.6142671840000276|UC|2024-02-10
Ciudad LÌmpia (ASE03)|24-0323|8|TV 78L No 50 40 SUR|2400|N||2025-11-01 00:00:00||-74.16828733299997|4.6140832980000255|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0487|8|KR 77H CON CL 52A SUR|2400|N||2025-11-01 00:00:00||-74.16828216999994|4.605065311000033|UC|2025-04-22
